"date","game_pk","opponent","location","blue_jays_score","opponent_score","result","innings","game_status"
"2026-03-27","822839","Athletics","Home","3","2","W","9","Final"
"2026-03-28","822838","Athletics","Home","8","7","W","11","Final"
"2026-03-29","822837","Athletics","Home","5","2","W","9","Final"
"2026-03-30","822834","Colorado Rockies","Home","5","14","L","9","Final"
"2026-03-31","822836","Colorado Rockies","Home","5","1","W","9","Final"
"2026-04-01","822835","Colorado Rockies","Home","1","2","L","10","Final"
"2026-04-03","824621","Chicago White Sox","Away","4","5","L","10","Final"
"2026-04-04","824622","Chicago White Sox","Away","3","6","L","9","Final"
"2026-04-05","824620","Chicago White Sox","Away","0","3","L","9","Final"
"2026-04-06","822832","Los Angeles Dodgers","Home","2","14","L","9","Final"
"2026-04-07","822831","Los Angeles Dodgers","Home","1","4","L","9","Final"
"2026-04-08","822833","Los Angeles Dodgers","Home","4","3","W","9","Final"
"2026-04-10","822829","Minnesota Twins","Home","10","4","W","9","Final"
"2026-04-11","822830","Minnesota Twins","Home","4","7","L","9","Final"
"2026-04-12","822828","Minnesota Twins","Home","2","8","L","9","Final"
"2026-04-14","823802","Milwaukee Brewers","Away","9","7","W","10","Final"
"2026-04-15","823803","Milwaukee Brewers","Away","1","2","L","9","Final"
"2026-04-16","823801","Milwaukee Brewers","Away","1","2","L","9","Final"
"2026-04-17","825101","Arizona Diamondbacks","Away","3","6","L","9","Final"
"2026-04-18","825098","Arizona Diamondbacks","Away","2","6","L","9","Final"
"2026-04-19","825100","Arizona Diamondbacks","Away","10","4","W","9","Final"
"2026-04-20","824046","Los Angeles Angels","Away","5","2","W","9","Final"
"2026-04-21","824045","Los Angeles Angels","Away","4","2","W","9","Final"
"2026-04-22","824044","Los Angeles Angels","Away","3","7","L","9","Final"
"2026-04-24","822827","Cleveland Guardians","Home","6","8","L","9","Final"
"2026-04-25","822826","Cleveland Guardians","Home","5","3","W","9","Final"
"2026-04-26","822824","Cleveland Guardians","Home","4","2","W","9","Final"
"2026-04-27","822825","Boston Red Sox","Home","0","5","L","9","Final"
"2026-04-28","822823","Boston Red Sox","Home","3","0","W","9","Final"
"2026-04-29","822821","Boston Red Sox","Home","8","1","W","9","Final"
"2026-04-30","823714","Minnesota Twins","Away","1","7","L","9","Final"
"2026-05-01","823713","Minnesota Twins","Away","7","3","W","9","Final"
"2026-05-02","823715","Minnesota Twins","Away","11","4","W","9","Final"
"2026-05-03","823711","Minnesota Twins","Away","3","4","L","9","Final"
"2026-05-04","822984","Tampa Bay Rays","Away","1","5","L","9","Final"
"2026-05-05","822986","Tampa Bay Rays","Away","3","4","L","9","Final"
"2026-05-06","822985","Tampa Bay Rays","Away","0","3","L","9","Final"
"2026-05-08","822822","Los Angeles Angels","Home","2","0","W","9","Final"
"2026-05-09","822820","Los Angeles Angels","Home","14","1","W","9","Final"
"2026-05-10","822819","Los Angeles Angels","Home","1","6","L","9","Final"
"2026-05-11","822818","Tampa Bay Rays","Home","5","8","L","9","Final"
"2026-05-12","822817","Tampa Bay Rays","Home","6","7","L","10","Final"
"2026-05-13","822815","Tampa Bay Rays","Home","5","3","W","10","Final"
"2026-05-15","824280","Detroit Tigers","Away","2","3","L","9","Final"
"2026-05-16","824278","Detroit Tigers","Away","2","1","W","10","Final"
"2026-05-17","824279","Detroit Tigers","Away","4","1","W","9","Final"
"2026-05-18","823549","New York Yankees","Away","6","7","L","9","Final"
"2026-05-19","823548","New York Yankees","Away","4","5","L","9","Final"
"2026-05-20","823547","New York Yankees","Away","2","1","W","9","Final"
"2026-05-21","823545","New York Yankees","Away","2","0","W","9","Final"
"2026-05-22","822816","Pittsburgh Pirates","Home","6","2","W","9","Final"
"2026-05-23","822814","Pittsburgh Pirates","Home","5","2","W","9","Final"
"2026-05-24","822813","Pittsburgh Pirates","Home","1","4","L","9","Final"
"2026-05-25","822812","Miami Marlins","Home","2","8","L","9","Final"
"2026-05-26","822811","Miami Marlins","Home","8","1","W","9","Final"
"2026-05-27","822809","Miami Marlins","Home","2","1","W","9","Final"
"2026-05-28","824834","Baltimore Orioles","Away","2","1","W","9","Final"
"2026-05-29","824835","Baltimore Orioles","Away","6","5","W","9","Final"
"2026-05-30","824833","Baltimore Orioles","Away","5","6","L","9","Final"
"2026-05-31","824832","Baltimore Orioles","Away","5","9","L","9","Final"
"2026-06-02","824918","Atlanta Braves","Away","3","4","L","9","Final"
"2026-06-03","824917","Atlanta Braves","Away","3","7","L","9","Final"
"2026-06-04","824919","Atlanta Braves","Away","7","2","W","9","Final"
"2026-06-05","822810","Baltimore Orioles","Home","3","13","L","9","Final"
"2026-06-06","822808","Baltimore Orioles","Home","6","4","W","9","Final"
"2026-06-07","822807","Baltimore Orioles","Home","6","4","W","9","Final"
"2026-06-08","822806","Philadelphia Phillies","Home","2","5","L","9","Final"
"2026-06-09","822805","Philadelphia Phillies","Home","3","2","W","9","Final"
"2026-06-10","822804","Philadelphia Phillies","Home","4","7","L","9","Final"
"2026-06-12","822803","New York Yankees","Home","8","5","W","9","Final"
"2026-06-13","822802","New York Yankees","Home","1","3","L","9","Final"
"2026-06-14","822801","New York Yankees","Home","3","8","L","9","Final"
"2026-06-16","824750","Boston Red Sox","Away","6","1","W","9","Final"
"2026-06-17","824746","Boston Red Sox","Away","3","0","W","9","Final"
"2026-06-18","824748","Boston Red Sox","Away","4","3","W","9","Final"
"2026-06-19","824663","Chicago Cubs","Away","2","16","L","9","Final"
"2026-06-20","824665","Chicago Cubs","Away","8","6","W","9","Final"
"2026-06-22","822800","Houston Astros","Home","4","2","W","9","Final"
